Sigma 24mm F1.4 DG HSM Art | 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
Sigma 30mm F1.4 DC HSM Art | 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
Sigma 35mm F1.4 DG HSM Art | 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
Sigma 50mm F1.4 DG HSM Art | 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
Sigma 85mm F1.4 DG HSM Art | -1
Sigma 105mm F1.4 AF DG HSM Art | 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
Sigma 135mm F1.8 DG HSM Art | 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
Sigma 12-24mm F4 DG HSM Art | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Sigma 18-35mm F1.8 DC HSM Art | 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
Sigma 24-35mm F2 DG HSM Art | 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
Sigma 24-70mm F2.8 DG OS HSM Art | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Sigma 24-105mm F4 DG OS HSM Art | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Sigma 50-100mm F1.8 DC HSM Art | 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
